TIC_ID,Sector_ID
274039311,31
126947245,1
341849173,7
441461124,2
273985862,1
266980320,1
301407485,31
9967126,4
120896927,4
231702397,1 
279614617,9
103633672,14
413248763,8
441791294,14
140830390,39
20291794,23
321103619,20
110996418,10
149950920,21
55525572,4
207468071,23
183596242,3 
350618622,2
144539611,4
79748331,13
11465798,9
1030783,4
7809321,4
20448500,9
23609565,9
14336130,20
441420236,27
146520535,32
460205581,38
377064495,45
44792534,31
307210830,39
